Alice: Madness Returns,3.5,0.49,0.5,0.08,0.15,1.2200000000000002
Borderlands 2,3.5,7.579999999999999,4.6,0.30000000000000004,1.8,14.219999999999999
Battlefield 4,3.5,6.41,5.57,0.4600000000000001,1.5999999999999996,14.030000000000001
Tomb Raider,3.5,9.75,6.120000000000001,0.39,0.72,16.98
Metro 2033,3.5,0.22,0.43,0.03,0.1,0.79
Sonic Colors,3.4,3.4000000000000004,2.2199999999999998,0.04,0.5800000000000001,6.22
Sonic CD,3.4,1,0.36,0.09,0.05,1.5
Tom Clancy's Splinter Cell: Pandora Tomorrow,3.4,1.4,1.17,0,0.24000000000000002,2.81
Toy Story 2: Buzz Lightyear to the Rescue!,3.4,1.7,0.8400000000000001,0,0.09,2.64
Super Smash Bros.,3.4,5.9,1.2,3.94,0.08,11.1
Batman: Arkham Origins,3.4,2.55,1.73,0.04,0.6400000000000001,4.970000000000001
Kirby's Dream Land 3,3.4,0,0,0.36,0,0.36
Final Fantasy I & II: Dawn of Souls,3.4,0.64,0.24,0.29,0.02,1.19
Black,3.4,1.32,0.13,0.03,0.17,1.67
Castlevania,3.4,0.98,0.16,0.66,0.060000000000000005,1.87
Tekken 6,3.4,2.06,1.44,0.32000000000000006,0.5900000000000001,4.41
Phoenix Wright: Ace Attorney - Dual Destinies,3.4,0,0,0.38,0,0.38
Animal Crossing: City Folk,3.4,1.87,1.12,1.32,0.37,4.68
Tekken 4,3.4,1.55,1.27,0.33,0.29,3.44
inFAMOUS: Second Son,3.4,2.54,1.94,0.14,0.94,5.56
Quake II,3.4,0.47,0.22,0,0.03,0.71
Saints Row: The Third,3.4,2.27,2.37,0.25,0.75,5.64
Disney's Aladdin,3.4,0.94,0.34,0.21,0.27,1.75
Parasite Eve II,3.4,0.32,0.22,0,0.04,0.58
Armored Core,3.4,0.13,0.09,0.16,0.03,0.41
Middle-Earth: Shadow of Mordor,3.4,4.660000000000001,5.3,0.14,1.6400000000000006,11.7
Life is Strange,3.4,0.6599999999999999,0.51,0.09,0.21000000000000002,1.4400000000000002
Until Dawn,3.4,0.44,0.89,0.05,0.25,1.64
Pac-Man,3.4,7.550000000000001,0.53,0.85,0.1,9.03
